Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
337.20	0.032648	645.73	0.0015486	-8.5351	-8.5300	-24.047	192.31	240.52	969.10	-0.34531	261.29	0.12134	0.016018	1.1955	0.83648	22.842	25.579	77.106	175.37	184.88	167.58	43.654	6.8111	0.014816
338.40	0.034125	644.67	0.0015512	-8.2463	-8.2410	-23.192	192.77	241.04	964.31	-0.34293	258.44	0.12104	0.015898	1.2461	0.80249	23.045	25.789	77.370	175.94	185.50	167.75	43.109	6.8377	0.014923
339.60	0.035656	643.60	0.0015538	-7.9568	-7.9513	-22.338	193.24	241.57	959.54	-0.34054	255.63	0.12074	0.015779	1.2985	0.77015	23.248	26.000	77.636	176.52	186.11	167.91	42.576	6.8644	0.015031
340.80	0.037241	642.53	0.0015564	-7.6667	-7.6609	-21.485	193.70	242.10	954.76	-0.33813	252.87	0.12045	0.015659	1.3525	0.73936	23.452	26.211	77.905	177.10	186.73	168.07	42.053	6.8911	0.015139
342.00	0.038883	641.45	0.0015590	-7.3760	-7.3700	-20.634	194.17	242.63	949.99	-0.33569	250.15	0.12015	0.015540	1.4084	0.71004	23.656	26.423	78.175	177.67	187.35	168.23	41.540	6.9178	0.015247
343.20	0.040582	640.38	0.0015616	-7.0847	-7.0783	-19.783	194.63	243.17	945.23	-0.33323	247.48	0.11986	0.015421	1.4660	0.68211	23.861	26.635	78.448	178.25	187.97	168.38	41.037	6.9446	0.015356
344.40	0.042341	639.30	0.0015642	-6.7927	-6.7861	-18.934	195.10	243.71	940.47	-0.33076	244.84	0.11956	0.015302	1.5256	0.65549	24.066	26.847	78.724	178.83	188.60	168.53	40.544	6.9715	0.015466
345.60	0.044160	638.22	0.0015669	-6.5001	-6.4932	-18.086	195.57	244.24	935.71	-0.32825	242.25	0.11927	0.015184	1.5870	0.63012	24.272	27.060	79.001	179.41	189.22	168.67	40.060	6.9984	0.015575
346.80	0.046041	637.13	0.0015695	-6.2068	-6.1996	-17.239	196.04	244.78	930.95	-0.32573	239.69	0.11897	0.015066	1.6504	0.60592	24.478	27.273	79.281	179.99	189.85	168.81	39.586	7.0254	0.015686
348.00	0.047985	636.05	0.0015722	-5.9129	-5.9054	-16.393	196.51	245.33	926.20	-0.32318	237.18	0.11868	0.014948	1.7158	0.58283	24.685	27.487	79.562	180.58	190.48	168.95	39.121	7.0524	0.015797
349.20	0.049995	634.96	0.0015749	-5.6184	-5.6105	-15.548	196.98	245.87	921.46	-0.32061	234.70	0.11838	0.014830	1.7832	0.56079	24.892	27.701	79.846	181.16	191.11	169.08	38.665	7.0795	0.015908
350.40	0.052072	633.87	0.0015776	-5.3232	-5.3150	-14.704	197.45	246.41	916.71	-0.31802	232.26	0.11809	0.014712	1.8527	0.53976	25.099	27.915	80.132	181.74	191.75	169.21	38.217	7.1066	0.016020
351.60	0.054216	632.78	0.0015803	-5.0274	-5.0188	-13.861	197.92	246.96	911.97	-0.31540	229.86	0.11780	0.014595	1.9243	0.51966	25.307	28.130	80.420	182.33	192.38	169.33	37.779	7.1338	0.016132
352.80	0.056431	631.68	0.0015831	-4.7309	-4.7219	-13.019	198.39	247.51	907.23	-0.31275	227.49	0.11751	0.014477	1.9981	0.50047	25.516	28.345	80.709	182.91	193.02	169.45	37.349	7.1610	0.016245
354.00	0.058717	630.58	0.0015858	-4.4337	-4.4244	-12.178	198.86	248.06	902.50	-0.31008	225.16	0.11721	0.014360	2.0742	0.48212	25.724	28.561	81.001	183.50	193.66	169.56	36.927	7.1883	0.016359
355.20	0.061076	629.48	0.0015886	-4.1359	-4.1262	-11.338	199.34	248.61	897.76	-0.30738	222.86	0.11692	0.014244	2.1525	0.46458	25.934	28.777	81.295	184.08	194.30	169.68	36.514	7.2157	0.016473
356.40	0.063509	628.38	0.0015914	-3.8375	-3.8274	-10.499	199.81	249.17	893.03	-0.30466	220.60	0.11663	0.014127	2.2331	0.44780	26.144	28.993	81.590	184.67	194.94	169.78	36.108	7.2431	0.016587
357.60	0.066020	627.27	0.0015942	-3.5384	-3.5278	-9.6615	200.28	249.73	888.31	-0.30191	218.37	0.11634	0.014011	2.3161	0.43175	26.354	29.210	81.887	185.26	195.59	169.88	35.710	7.2706	0.016702
358.80	0.068608	626.16	0.0015970	-3.2386	-3.2276	-8.8246	200.76	250.28	883.58	-0.29913	216.16	0.11605	0.013895	2.4016	0.41639	26.565	29.427	82.187	185.84	196.24	169.98	35.320	7.2982	0.016817
360.00	0.071275	625.05	0.0015999	-2.9382	-2.9268	-7.9886	201.23	250.84	878.86	-0.29632	214.00	0.11576	0.013779	2.4895	0.40169	26.776	29.645	82.487	186.43	196.88	170.08	34.938	7.3258	0.016933
361.20	0.074025	623.94	0.0016027	-2.6371	-2.6252	-7.1536	201.71	251.41	874.14	-0.29348	211.86	0.11547	0.013663	2.5799	0.38761	26.987	29.862	82.790	187.02	197.54	170.16	34.563	7.3535	0.017050
362.40	0.076857	622.82	0.0016056	-2.3353	-2.3230	-6.3195	202.18	251.97	869.42	-0.29061	209.75	0.11518	0.013547	2.6729	0.37412	27.199	30.081	83.094	187.61	198.19	170.25	34.195	7.3813	0.017167
