Krok,Czas_[ms],Pozycja_Z_[mm],Gestosc_wzgledna_[-],Ulamek_cieczy_Yl_[-],Ulamek_pary_Yv_[-],Predkosc_cieczy_[m/s],Predkosc_gazu_[m/s],Srednica_kropel_SMD_[um],Temp_kropel_[K],Temp_gazu_[K],Promien_strugi_b_[mm]
000000,0.00000,19.7146,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,19.8510,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,19.9874,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,20.1239,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,20.2603,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,20.3967,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,20.5332,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,20.6696,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,20.8060,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,20.9425,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,21.0789,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,21.2153,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,21.3518,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,21.4882,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,21.6246,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,21.7611,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,21.8975,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,22.0339,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,22.1704,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,22.3068,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,22.4432,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,22.5797,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,22.7161,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,22.8525,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,22.9890,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,23.1254,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,23.2618,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,23.3983,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,23.5347,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,23.6711,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,23.8076,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,23.9440,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,24.0804,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,24.2169,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,24.3533,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,24.4897,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,24.6262,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,24.7626,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,24.8990,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,25.0355,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,25.1719,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,25.3083,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,25.4448,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,25.5812,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,25.7176,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,25.8541,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,25.9905,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,26.1269,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,26.2634,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,26.3998,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,26.5362,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,26.6727,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,26.8091,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,26.9455,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,27.0820,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,27.2184,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,27.3548,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,27.4912,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,27.6277,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,27.7641,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,27.9005,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,28.0370,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,28.1734,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,28.3098,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,28.4463,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,28.5827,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,28.7191,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,28.8556,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,28.9920,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,29.1284,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,29.2649,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,29.4013,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,29.5377,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,29.6742,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,29.8106,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,29.9470,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,30.0835,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,30.2199,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,30.3563,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,30.4928,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,30.6292,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,30.7656,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,30.9021,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,31.0385,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,31.1749,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,31.3114,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
